CTRPGM CTRSAN
FIBSCH 80.101
FIBSCH 80.102
FIBSCH 80.103
FIBSCH 80.112
FIBSCH 80.113
FIBSCH 80.200
FIBSCH 80.300
FIBSCH 80.301
FIBSCH 80.302
FIBSCH 80.303
FIBSCH 80.304
FIBSCH 80.305
FIBSCH 80.400
FIBSCH 80.410
FIBSCH 90.000
FIBSCH 90.001
FIBSCH 90.002
FIBSCH 90.003
FIBSCH 90.004
FIBSCH 90.005
FIBSCH 90.006
FIBSCH 90.007
FIBSCH 90.008
FIBSCH 90.009
FIBSCH 99.001
FIBSCH 99.002
FIBSCH 99.003
FIBSCH 99.004
FIBSCH 99.005
FIBSCH 99.006
FIBSCH 99.007
FIBUCH 100
FIBUCH 110
FIBUCH 120
FIBUCH 121
FIBUCH 30.010
FIB341 1
FIB350 99.999
FIB381 10
FIB3814 90.001
FIB443 10.001
FIB443 10.002
FIB453 10.001
FIB453 10.002
FIB453 20.003
FIB453 20.004
FIB453 20.005
FIB453 20.006
FIB453 20.007
FIB453 20.008
FIB453 30.002
FIB453 30.003
FIB453 30.004
FIB460 1
FIB483 10.000
FIB701 10.002
FIB822 10.000
FIB822 10.001
FIB825 10.001
FIB830 10.001
FIB830 10.002
FIB830 10.003
FIB830 10.005
FIB830 10.007
FLDL�NGE 1
FLDL�NGE 2
FLDL�NGE 3
FLDL�NGE 4
FLDL�NGE 5
FLDL�NGE 6
FLDL�NGE 7
FLDL�NGE 8
FLDL�NGE 10
FST000A 10.000
FST000A 10.123
FST000A 10.300
FST000A 10.608
GDPDU 1
GDPDU 10
GDPDU 20
GDPDU 100
GDPDU 101
GDPDU 111
GDPDU 201
GDPDU 202
GDPDU 300
GDPDU 400
GDPDU 10.000
GDPDUZ3 1
IBANHIN 1.000
IBANHIN 1.100
IBANHIN 1.200
IBANRUE 1.200
IBANRUE 1.210
IBANRUE 1.211
IBANRUE 1.220
IBANRUE 1.230
IBANRUE 1.240
IBANRUE 1.250
IBANRUE 1.260
IBV110 10.000
INKASSO 1
INKASSO 10
INKASSO 20
INKASSO 100
JASK 11
JASK 12
JASK 13
JASK 14
JASK 15
JASK 100
JASK 105
KKTOCD 1
KONFIPAY 1
KORR 20
KORR 30
KORR 31
KORR 50
KORR 51
KORR 52
KORR 60
KORR 61
KORR 100
KORR 110
KORR 120
KORR 130
KORR 140
KORR 141
KORR 142
KORR 143
KORR 150
KORR 160
KORR 161
KORR 162
KORR 163
KORR 164
KORR 165
KORR 170
KORR 171
KORR 200
KORR 210
KORR 211
KORR 212
KORR 220
KORR 230
KORR 240
KORR 250
KORR 300
KORR 310
KORR 330
KORRBB 10
KORRBB 20
KORRBB 100
KORRBB 110
KORRBB 120
KORRBB 130
KORRBB 140
KORRBB 141
KORRBB 142
KORRBB 143
KORRBB 150
KORRBB 160
KORRBB 161
KORRBB 162
KORRBB 163
KORRBB 170
KORRBB 171
KORRBB 200
KORRBB 210
KORRBB 211
KORRBB 212
KORRBB 220
KORRBB 230
KORRBB 240
KORRBB 250
KORRBB 260
KORRBB 300
KORRBB 310
KORRBB 320
KORRBB 330
KORRBBLI 1
KORRBL 10
KORRBL 20
KORRBL 100
KORRBL 110
KORRBL 120
KORRBL 130
KORRBL 140
KORRBL 141
KORRBL 143
KORRBL 150
KORRBL 160
KORRBL 161
KORRBL 162
KORRBL 163
KORRBL 170
KORRBL 171
KORRBL 200
KORRBL 210
KORRBL 211
KORRBL 212
KORRBL 220
KORRBL 230
KORRBL 240
KORRBL 250
KORRBL 260
KORRBL 300
KORRBL 310
KORRBL 320
KORRBL 330
KORRBLLI 1
KORRBU 10
KORRBU 20
KORRBU 61
KORRBU 100
KORRBU 110
KORRBU 120
KORRBU 130
KORRBU 140
KORRBU 150
KORRBU 160
KORRBU 161
KORRBU 162
KORRBU 163
KORRBU 166
KORRBU 170
KORRBU 171
KORRBU 200
KORRBU 210
KORRBU 211
KORRBU 212
KORRBU 220
KORRBU 230
KORRBU 240
